Date,Close,High,Low,Open,Volume
2021-01-08,2701.66796875,2707.814306989968,2648.9487785771425,2674.918864641624,5879039
2021-01-11,2749.756103515625,2796.112751935151,2723.8726675326607,2796.112751935151,9508039
2021-01-12,2748.37158203125,2778.7997880067237,2726.859605053327,2749.756526769587,3611458
2021-01-13,2734.60693359375,2750.2323121024488,2706.2995800158265,2748.500972906917,3572801
2021-01-14,2819.38720703125,2833.090857385207,2706.3757644928123,2736.385016087656,6931542
2021-01-15,2804.339111328125,2839.5954577091984,2784.0871775340647,2805.7700994774764,4131692
2021-01-18,2794.278564453125,2824.6346596671733,2764.4861405941256,2818.7802698758924,4160906
2021-01-19,2828.060791015625,2843.9327361008795,2803.1688328996775,2804.036149989065,2975735
2021-01-20,2869.7783203125,2886.387354938711,2833.6112464291687,2836.1263808447598,3453446
2021-01-21,2839.46533203125,2870.081447200783,2829.274359122853,2866.482167000132,2778546
2021-01-22,2864.834716796875,2883.828873399442,2811.7547497893943,2811.7547497893943,3052459
2021-01-25,2854.599853515625,2896.6647187182984,2843.6281688422373,2869.9079104832576,2272887
2021-01-27,2828.364013671875,2867.7401189418397,2798.831828845749,2862.145966901448,2786662
2021-01-28,2772.421875,2840.462843356283,2761.3635845411322,2801.433582913219,3083938
2021-01-29,2698.526611328125,2790.0285473235554,2688.68247948657,2784.1307498578026,5445659
2021-02-01,2722.8115234375,2745.0581182753135,2640.1995848069396,2688.682517110102,3985846
2021-02-02,2778.40625,2796.229654445879,2732.048204560955,2752.863809929039,2881837
2021-02-03,2775.457763671875,2806.637766972181,2743.0199813438967,2786.6894762922184,2505866
2021-02-04,2765.39697265625,2808.2425614623266,2754.5989178623313,2789.3350076489455,2057261
2021-02-05,2738.943359375,2780.4879658934738,2713.834577493573,2774.5033522408476,2366135
2021-02-08,2787.643310546875,2797.9642968748694,2736.5148103056554,2766.307230279726,2526592
2021-02-09,2755.37939453125,2815.1376650902857,2744.191089516285,2771.0779175109137,2658751
2021-02-10,2786.94970703125,2792.2402135852535,2738.3799559273443,2762.4045940346355,2127983
2021-02-11,2780.61865234375,2792.154012246609,2762.4484012538537,2788.4245063272474,1165882
2021-02-12,2767.435546875,2814.8777516414725,2759.803113764648,2761.711169105399,2777404
2021-02-15,2723.2451171875,2783.2199975335957,2716.0463443987987,2783.2199975335957,2630853
2021-02-16,2696.31494140625,2747.356416200862,2688.682509996156,2732.048356931578,3435770
2021-02-17,2665.35205078125,2717.174243346874,2641.4574242446233,2693.1061957536344,3678426
2021-02-18,2651.691162109375,2686.8606897331606,2628.83727922257,2658.3260510779205,4189909
2021-02-19,2664.267333984375,2677.537112309935,2615.95761633869,2652.2549109868482,3725028
2021-02-22,2565.913330078125,2685.2127975919084,2552.6433407638283,2685.2127975919084,5366696
2021-02-23,2584.778076171875,2626.235871043088,2574.1968511413097,2575.9314851380354,3832829
2021-02-24,2556.93701171875,2604.85626995892,2533.5626521024114,2577.6658007201077,3774549
2021-02-25,2597.875244140625,2627.8842921270866,2574.5876926877345,2579.401345483553,4224073
2021-02-26,2510.275390625,2577.969518222327,2497.8727163851563,2567.2580696180776,5553153
2021-03-01,2536.208740234375,2571.5953219209014,2516.780920983558,2537.7699534369503,3265871
2021-03-02,2607.457763671875,2623.6331361595453,2556.8497472391205,2567.257548109836,3306469
